Season,Name,Team,Rebound,Assist,Point
2010-2011,Tomislav Zubcic,CIB,51,9,90
2010-2011,Drago Pasalic,CIB,33,3,64
2010-2011,Goran Vrbanc,CIB,11,8,54
2010-2011,Mario Delas,CIB,19,4,26
2010-2011,Jure Lalic,CIB,9,2,21
2010-2011,Karlo Vragovic,CIB,9,8,15
2010-2011,Marcus Johnson,CIB,12,2,8
2010-2011,Toni Brnas,CIB,6,0,6
2010-2011,Stipe Krstanovic,CIB,4,0,4
2010-2011,Sven Smajlagic,CIB,0,0,0
2010-2011,Jamont Gordon,CSKA,48,37,131
2010-2011,Andrey Vorontsevich,CSKA,43,11,105
2010-2011,Dmitry Sokolov,CSKA,54,5,85
2010-2011,Trajan Langdon,CSKA,22,5,83
2010-2011,Matjaz Smodis,CSKA,27,4,68
2010-2011,J.R. Holden,CSKA,19,34,64
2010-2011,Ramunas Siskauskas,CSKA,28,6,49
2010-2011,Boban Marjanovic,CSKA,28,3,34
2010-2011,Alexey Shved,CSKA,10,8,31
2010-2011,Sergey Bykov,CSKA,11,2,14
2010-2011,Nikita Kurbanov,CSKA,7,2,10
2010-2011,Viktor Khryapa,CSKA,15,7,9
2010-2011,Artem Zabelin,CSKA,0,0,0
2010-2011,Igor Rakocevic,EFE,32,24,241
2010-2011,Kerem Tunceri,EFE,28,56,145
2010-2011,Kerem Gonlum,EFE,85,15,141
2010-2011,Bootsy Thornton,EFE,89,18,138
2010-2011,Bostjan Nachbar,EFE,42,5,124
2010-2011,Lawrence Roberts,EFE,81,13,104
2010-2011,Nikola Vujcic,EFE,47,31,97
2010-2011,Andrew Wisniewski,EFE,18,29,68
2010-2011,Sinan Guler,EFE,29,13,58
2010-2011,Flip Murray,EFE,5,6,25
2010-2011,Ender Arslan,EFE,5,8,20
2010-2011,Ersin Dagli,EFE,7,1,12
2010-2011,Miroslav Raduljica,EFE,0,2,5
2010-2011,Cenk Akyol,EFE,0,2,4
2010-2011,Juan Carlos Navarro,FCB,22,42,211
2010-2011,Erazem Lorbek,FCB,73,18,169
2010-2011,Fran Vazquez,FCB,87,11,162
2010-2011,Boniface Ndong,FCB,52,1,136
2010-2011,Terence Morris,FCB,81,13,131
2010-2011,Ricky Rubio,FCB,64,71,129
2010-2011,Jaka Lakovic,FCB,9,36,121
2010-2011,Alan Anderson,FCB,31,15,114
2010-2011,Kosta Perovic,FCB,51,5,97
2010-2011,Roger Grimau,FCB,27,15,89
2010-2011,Joe Ingles,FCB,17,17,75
2010-2011,Pete Mickeal,FCB,18,6,56
2010-2011,Victor Sada,FCB,50,44,40
2010-2011,Ivan Garcia,FCB,0,0,2
2010-2011,Angel Aparicio,FCB,1,1,0
2010-2011,Roko Ukic,FEN,35,49,185
2010-2011,Omer Onan,FEN,17,14,137
2010-2011,Oguz Savas,FEN,60,17,130
2010-2011,Darius Lavrinovic,FEN,71,20,128
2010-2011,Marko Tomas,FEN,47,20,128
2010-2011,Emir Preldzic,FEN,39,36,117
2010-2011,Tarence Kinsey,FEN,39,16,117
2010-2011,Mirsad Turkcan,FEN,88,10,95
2010-2011,Kaya Peker,FEN,47,19,63
2010-2011,Lynn Greer,FEN,12,18,50
2010-2011,Sean May,FEN,22,4,34
2010-2011,Gasper Vidmar,FEN,19,0,34
2010-2011,Sarunas Jasikevicius,FEN,6,9,29
2010-2011,Maxim Mutaf,FEN,3,1,4
2010-2011,Erbil Eroglu,FEN,2,2,0
2010-2011,Keith Langford,KHI,41,25,187
2010-2011,Zoran Planinic,KHI,42,31,111
2010-2011,Kresimir Loncar,KHI,41,7,93
2010-2011,Raul Lopez,KHI,21,30,82
2010-2011,Benjamin Eze,KHI,43,2,81
2010-2011,Vitaliy Fridzon,KHI,37,13,74
2010-2011,Sergei Monia,KHI,34,7,69
2010-2011,Alexei Savrasenko,KHI,37,2,33
2010-2011,Thomas Kelati,KHI,7,6,22
2010-2011,Fedor Dmitriev,KHI,3,0,10
2010-2011,Vadim Panin,KHI,11,3,2
2010-2011,Alexey Karpenko,KHI,0,0,0
2010-2011,Vyacheslav Zaytsev,KHI,0,0,0
2010-2011,Milko Bjelica,LIE,75,22,196
2010-2011,Khalid El-Amin,LIE,28,49,182
2010-2011,Martynas Gecevicius,LIE,45,39,176
2010-2011,Kenan Bajramovic,LIE,73,20,160
2010-2011,Jonas Valanciunas,LIE,87,3,115
2010-2011,Brad Newley,LIE,61,21,112
2010-2011,Cemal Nalga,LIE,45,6,79
2010-2011,Sarunas Jasikevicius,LIE,8,26,44
2010-2011,Steponas Babrauskas,LIE,13,3,34
2010-2011,Simas Jasaitis,LIE,14,7,33
2010-2011,D.J. Strawberry,LIE,6,14,33
2010-2011,Arturas Jomantas,LIE,26,12,29
2010-2011,Igor Milosevic,LIE,10,13,27
2010-2011,Arvydas Siksnius,LIE,2,2,4
2010-2011,Simas Buterlevicius,LIE,0,0,0
2010-2011,Jeremy Pargo,MAC,78,94,285
2010-2011,Sofoklis Schortsanitis,MAC,91,23,265
2010-2011,Lior Eliyahu,MAC,79,20,228
2010-2011,Chuck Eidson,MAC,95,78,214
2010-2011,David Blu,MAC,69,13,195
2010-2011,Doron Perkins,MAC,103,69,181
2010-2011,Guy Pnini,MAC,37,24,158
2010-2011,Richard Hendrix,MAC,100,4,117
2010-2011,Tal Burstein,MAC,38,23,76
2010-2011,Milan Macvan,MAC,20,5,42
2010-2011,Yaniv Green,MAC,16,0,25
2010-2011,Derrick Sharp,MAC,3,0,9
2010-2011,Elishay Kadir,MAC,1,0,0
2010-2011,David Hawkins,MIL,30,30,130
2010-2011,Morris Finley,MIL,17,33,110
2010-2011,Ibrahim Jaaber,MIL,17,24,108
2010-2011,Stefano Mancinelli,MIL,47,26,91
2010-2011,Jonas Maciulis,MIL,22,9,65
2010-2011,Richard Rocca,MIL,47,2,64
2010-2011,Marco Mordente,MIL,10,11,47
2010-2011,Marijonas Petravicius,MIL,16,0,41
2010-2011,Oleksiy Pecherov,MIL,8,0,35
2010-2011,Nicolo Melli,MIL,24,2,33
2010-2011,Thomas Van Den Spiegel,MIL,9,0,10
2010-2011,Mike Nardi,MIL,2,1,3
2010-2011,Gabriele Ganeto,MIL,0,0,0
2010-2011,Kenny Gregory,OLI,97,26,224
2010-2011,Goran Jagodnik,OLI,48,12,167
2010-2011,Vlado Ilijevski,OLI,37,61,162
2010-2011,Kevinn Pinkney,OLI,53,15,160
2010-2011,Saso Ozbolt,OLI,40,37,141
2010-2011,Damir Markota,OLI,67,29,127
2010-2011,Giorgi Shermadini,OLI,55,8,119
2010-2011,Sasu Salin,OLI,9,1,20
2010-2011,Zoran Vrkic,OLI,11,1,20
2010-2011,Marque Perry,OLI,8,13,16
2010-2011,Aloysius Anagonye,OLI,11,2,12
2010-2011,Dino Muric,OLI,4,1,6
2010-2011,Jan Span,OLI,1,4,5
2010-2011,Samo Udrih,OLI,5,8,3
2010-2011,Klemen Lorbek,OLI,0,0,1
2010-2011,Vladimir Boisa,OLI,2,2,0
2010-2011,Vassilis Spanoulis,OLY,35,85,284
2010-2011,Rasho Nesterovic,OLY,108,11,218
2010-2011,Milos Teodosic,OLY,48,65,196
2010-2011,Yannis Bourousis,OLY,118,13,193
2010-2011,Loukas Mavrokefalidis,OLY,72,10,152
2010-2011,Theo Papaloukas,OLY,46,69,98
2010-2011,Zoran Erceg,OLY,50,8,94
2010-2011,Jamon Lucas,OLY,50,28,86
2010-2011,Kostas Papanikolaou,OLY,50,4,63
2010-2011,Matt Nielsen,OLY,40,8,61
2010-2011,Yotam Halperin,OLY,25,17,58
2010-2011,Marko Keselj,OLY,12,2,46
2010-2011,Andreas Glyniadakis,OLY,2,0,8
2010-2011,Dimitrios Katsivelis,OLY,2,3,7
2010-2011,Michalis Pelekanos,OLY,7,2,4
2010-2011,Panagiotis Vasilopoulos,OLY,1,0,0
2010-2011,Dimitris Diamantidis,PAN,85,137,276
2010-2011,Mike Batiste,PAN,109,16,266
2010-2011,Drew Nicholas,PAN,23,34,196
2010-2011,Romain Sato,PAN,82,24,189
2010-2011,Antonis Fotsis,PAN,113,18,184
2010-2011,Stratos Perperoglou,PAN,50,16,156
2010-2011,Kostas Tsartsaris,PAN,67,14,122
2010-2011,Nick Calathes,PAN,35,33,106
2010-2011,Ian Vougioukas,PAN,25,5,90
2010-2011,Kostas Kaimakoglou,PAN,43,10,57
2010-2011,Milenko Tepic,PAN,20,13,48
2010-2011,Aleks Maric,PAN,28,0,28
2010-2011,Fotios Zoumpos,PAN,0,0,2
2010-2011,Georgios Bogris,PAN,1,1,0
2010-2011,James Gist,PAR,97,23,159
2010-2011,Jan Vesely,PAR,54,16,152
2010-2011,Nathan Jawai,PAR,80,14,146
2010-2011,Dusan Kecman,PAR,63,29,123
2010-2011,Rasko Katic,PAR,67,5,111
2010-2011,Curtis Jerrells,PAR,32,38,97
2010-2011,Dragan Milosavljevic,PAR,31,13,67
2010-2011,Oliver Lafayette,PAR,22,20,51
2010-2011,Jaka Klobucar,PAR,13,11,46
2010-2011,Vladimir Lucic,PAR,28,9,36
2010-2011,Petar Bozic,PAR,16,11,35
2010-2011,Branislav Djekic,PAR,14,1,20
2010-2011,Sava Lesic,PAR,6,0,4
2010-2011,Nemanja Jaramaz,PAR,0,0,0
2010-2011,Aleksandar Mitrovic,PAR,0,0,0
2010-2011,Ratko Varda,PRO,45,8,133
2010-2011,Daniel Ewing,PRO,25,34,128
2010-2011,J.R. Giddens,PRO,52,8,90
2010-2011,Filip Videnov,PRO,25,12,78
2010-2011,Bobby Brown,PRO,6,11,64
2010-2011,Jan Jagla,PRO,54,4,56
2010-2011,Ronnie Burrell,PRO,31,4,33
2010-2011,Mike Wilks,PRO,8,4,30
2010-2011,Adam Lapeta,PRO,37,1,23
2010-2011,Adam Hrycaniuk,PRO,24,4,22
2010-2011,Piotr Szczotka,PRO,19,5,20
2010-2011,Courtney Eldridge,PRO,1,5,8
2010-2011,Mateusz Kostrzewski,PRO,0,1,4
2010-2011,Robert Witka,PRO,0,0,0
2010-2011,Sergio Llull,RMB,51,66,265
2010-2011,Ante Tomic,RMB,114,22,219
2010-2011,Clay Tucker,RMB,49,38,187
2010-2011,Felipe Reyes,RMB,106,18,176
2010-2011,Carlos Suarez,RMB,88,38,137
2010-2011,Nikola Mirotic,RMB,64,11,125
2010-2011,Sergio Rodriguez,RMB,34,55,110
2010-2011,D'or Fischer,RMB,103,9,109
2010-2011,Pablo Prigioni,RMB,43,57,92
2010-2011,Novica Velickovic,RMB,53,9,64
2010-2011,Jorge Garbajosa,RMB,30,3,59
2010-2011,Josh Fisher,RMB,29,0,30
2010-2011,Mirza Begic,RMB,4,0,21
2010-2011,Sergi Vidal,RMB,11,2,16
2010-2011,Victor Arteaga,RMB,0,0,2
2010-2011,Darius Washington,ROM,48,31,208
2010-2011,Ali Traore,ROM,57,5,142
2010-2011,Nihad Djedovic,ROM,47,31,140
2010-2011,Vladimir Dasic,ROM,76,14,135
2010-2011,Gigi Datome,ROM,56,9,118
2010-2011,Andrea Crosariol,ROM,80,14,99
2010-2011,Charles Cornelius Smith,ROM,23,19,83
2010-2011,Luca Vitali,ROM,18,16,60
2010-2011,Nemanja Gordic,ROM,2,15,58
2010-2011,Josh Heytvelt,ROM,29,1,53
2010-2011,Jacopo Giachetti,ROM,6,10,34
2010-2011,Herve Toure,ROM,4,0,7
2010-2011,Angelo Gigli,ROM,1,0,4
2010-2011,Alessandro Tonolli,ROM,0,0,2
2010-2011,Andrea Iannilli,ROM,5,0,1
2010-2011,Ksystof Lavrinovic,SANA,105,26,248
2010-2011,Rimantas Kaukenas,SANA,40,38,240
2010-2011,Milovan Rakovic,SANA,83,8,176
2010-2011,Bo McCalebb,SANA,30,32,173
2010-2011,David Moss,SANA,52,40,167
2010-2011,Malik Hairston,SANA,51,16,137
2010-2011,Nikos Zisis,SANA,41,58,132
2010-2011,Marco Carraretto,SANA,15,12,94
2010-2011,Shaun Stonerook,SANA,88,34,83
2010-2011,Pietro Aradori,SANA,24,10,68
2010-2011,Marko Jaric,SANA,17,15,61
2010-2011,Tomas Ress,SANA,33,3,48
2010-2011,Andrea Michelori,SANA,24,1,33
2010-2011,Deji Akindele,SANA,14,0,20
2010-2011,Tommaso Ingrosso,SANA,0,0,0
2010-2011,Demond Mallet,SPI,27,33,132
2010-2011,Joseph Gomis,SPI,23,20,104
2010-2011,Brent Wright,SPI,54,15,100
2010-2011,Brian Greene,SPI,30,15,87
2010-2011,Chris Hill,SPI,30,10,81
2010-2011,Daniel Santiago,SPI,30,3,51
2010-2011,Andre Riddick,SPI,50,6,50
2010-2011,Dwayne Broyles,SPI,20,13,50
2010-2011,Justin Hamilton,SPI,23,19,31
2010-2011,Christophe Beghin,SPI,5,1,5
2010-2011,Ioannis Iarochevitch,SPI,0,1,0
2010-2011,Joel Freeland,UNI,95,19,208
2010-2011,Uros Tripkovic,UNI,22,17,122
2010-2011,Berni Rodriguez,UNI,22,58,118
2010-2011,Saul Blanco,UNI,39,12,109
2010-2011,Robert Archibald,UNI,53,5,106
2010-2011,Roderick Blakney,UNI,19,42,88
2010-2011,Georgios Printezis,UNI,38,4,79
2010-2011,Carlos Jimenez,UNI,47,6,68
2010-2011,Terrell McIntyre,UNI,9,28,57
2010-2011,Guille Rubio,UNI,35,7,54
2010-2011,Nedzad Sinanovic,UNI,27,1,54
2010-2011,Rafa Luz,UNI,18,22,26
2010-2011,Gerald Fitch,UNI,12,6,26
2010-2011,Augusto Lima,UNI,22,1,20
2010-2011,Panchi Barrera,UNI,3,15,14
2010-2011,Pablo Almazan,UNI,8,3,12
2010-2011,Billy Baptist,UNI,1,0,2
2010-2011,Carlinhos Cobos,UNI,0,1,0
2010-2011,Angel Garcia,UNI,0,0,0
2010-2011,Dusko Savanovic,VAL,90,22,230
2010-2011,Rafa Martinez,VAL,41,31,208
2010-2011,Nando De Colo,VAL,46,30,185
2010-2011,Robertas Javtokas,VAL,108,14,170
2010-2011,Omar Cook,VAL,47,113,168
2010-2011,Victor Claver,VAL,68,19,153
2010-2011,Sergei Lishouk,VAL,99,9,126
2010-2011,Jeremy Richardson,VAL,26,2,78
2010-2011,Florent Pietrus,VAL,48,4,62
2010-2011,James Augustine,VAL,25,4,27
2010-2011,Jose Simeon,VAL,7,5,9
2010-2011,Marc Fernandez,VAL,4,0,8
2010-2011,David Navarro,VAL,5,0,7
2010-2011,Juanlu Navarro,VAL,0,0,0
2010-2011,Martynas Pocius,ZAL,43,37,174
2010-2011,Paulius Jankunas,ZAL,110,15,150
2010-2011,Tomas Delininkaitis,ZAL,31,32,140
2010-2011,Mantas Kalnietis,ZAL,42,28,137
2010-2011,DeJuan Collins,ZAL,33,36,107
2010-2011,Travis Watson,ZAL,70,11,99
2010-2011,Mirza Begic,ZAL,49,5,97
2010-2011,Tadas Klimavicius,ZAL,47,7,62
2010-2011,Arturas Milaknis,ZAL,15,6,58
2010-2011,Dainius Salenga,ZAL,16,11,48
2010-2011,Boban Marjanovic,ZAL,21,2,31
2010-2011,Trent Plaisted,ZAL,17,1,23
2010-2011,Marcus Brown,ZAL,7,5,22
2010-2011,Aleksandar Capin,ZAL,9,6,17
2010-2011,Mindaugas Kuzminskas,ZAL,8,1,13
2010-2011,Omar Samhan,ZAL,3,0,2
2011-2012,Marko Banic,BBB,79,13,265
2011-2012,Kostas Vasiliadis,BBB,42,16,216
2011-2012,Alex Mumbru,BBB,87,58,215
2011-2012,Aaron Jackson,BBB,56,77,181
2011-2012,D'or Fischer,BBB,111,27,149
2011-2012,Raul Lopez,BBB,23,28,103
2011-2012,Janis Blums,BBB,15,16,102
2011-2012,Dimitris Mavroeidis,BBB,66,9,88
2011-2012,Axel Hervelle,BBB,64,20,86
2011-2012,Roger Grimau,BBB,42,17,81
2011-2012,Josh Fisher,BBB,13,17,21
2011-2012,Tomas Hampl,BBB,0,0,2
2011-2012,Oliver Stevic,BBB,0,0,0
2011-2012,Damir Krupalija,BBB,1,0,0
2011-2012,Mamadou Samb,BBB,0,0,0
2011-2012,Marcus Slaughter,BRO,69,15,118
2011-2012,Predrag Suput,BRO,41,15,109
2011-2012,Julius Jenkins,BRO,6,14,104
2011-2012,Casey Jacobsen,BRO,21,25,91
2011-2012,P.J. Tucker,BRO,62,16,89
2011-2012,Brian Roberts,BRO,16,22,86
2011-2012,Anton Gavel,BRO,17,21,85
2011-2012,Tibor Pleiss,BRO,53,4,65
2011-2012,Karsten Tadda,BRO,7,5,24
2011-2012,Philipp Neumann,BRO,0,0,2
2011-2012,Daniel Schmidt,BRO,0,0,0
2011-2012,Mirza Teletovic,CAJ,60,12,220
2011-2012,Fernando San Emeterio,CAJ,46,21,120
2011-2012,Milko Bjelica,CAJ,27,6,73
2011-2012,Pablo Prigioni,CAJ,32,46,73
2011-2012,Brad Oleson,CAJ,14,17,71
2011-2012,Kevin Seraphin,CAJ,35,4,62
2011-2012,Nemanja Bjelica,CAJ,25,10,60
2011-2012,Pau Ribas,CAJ,25,18,52
2011-2012,Thomas Heurtel,CAJ,8,10,33
2011-2012,Reggie Williams,CAJ,3,2,16
2011-2012,Joey Dorsey,CAJ,16,1,12
2011-2012,Vladimir Golubovic,CAJ,13,0,7
2011-2012,Goran Dragic,CAJ,0,1,3
2011-2012,Unai Calbarro,CAJ,0,0,0
2011-2012,Giorgi Shermadini,CAN,88,12,175
2011-2012,Gianluca Basile,CAN,28,46,150
2011-2012,Manuchar Markoishvili,CAN,43,26,146
2011-2012,Vladimir Micov,CAN,58,45,145
2011-2012,Maarty Leunen,CAN,75,35,129
2011-2012,Nicolas Mazzarino,CAN,16,22,99
2011-2012,Denis Marconato,CAN,55,7,93
2011-2012,Andrea Cinciarini,CAN,42,37,83
2011-2012,Marko Scekic,CAN,6,6,40
2011-2012,Greg Brunner,CAN,15,3,25
2011-2012,Carlos Gianella,CAN,7,5,22
2011-2012,Doron Perkins,CAN,15,11,20
2011-2012,David Lighty,CAN,4,2,14
2011-2012,Benjamin Ortner,CAN,8,1,3
2011-2012,Nenad Krstic,CSKA,121,13,312
2011-2012,Andrei Kirilenko,CSKA,127,40,239
2011-2012,Milos Teodosic,CSKA,59,110,228
2011-2012,Alexey Shved,CSKA,55,63,222
2011-2012,Viktor Khryapa,CSKA,81,66,163
2011-2012,Ramunas Siskauskas,CSKA,47,22,158
2011-2012,Jamont Gordon,CSKA,40,43,141
2011-2012,Andrey Vorontsevich,CSKA,53,20,115
2011-2012,Sasha Kaun,CSKA,44,2,90
2011-2012,Darius Lavrinovic,CSKA,40,8,70
2011-2012,Anton Ponkrashov,CSKA,7,7,30
2011-2012,Sammy Mejia,CSKA,9,6,30
2011-2012,Nikita Kurbanov,CSKA,15,2,23
2011-2012,Evgeny Voronov,CSKA,5,8,11
2011-2012,Dmitry Sokolov,CSKA,5,0,5
2011-2012,Sasha Vujacic,EFE,53,27,222
2011-2012,Stanko Barac,EFE,59,5,160
2011-2012,Dusko Savanovic,EFE,90,18,160
2011-2012,Esteban Batista,EFE,68,9,81
2011-2012,Ersan Ilyasova,EFE,44,7,76
2011-2012,Cenk Akyol,EFE,32,8,75
2011-2012,Tarence Kinsey,EFE,34,10,74
2011-2012,Kerem Tunceri,EFE,17,67,65
2011-2012,Sinan Guler,EFE,32,23,65
2011-2012,Oliver Lafayette,EFE,19,17,52
2011-2012,Ermal Kuqo,EFE,5,2,42
2011-2012,Vlado Ilijevski,EFE,15,26,27
2011-2012,Kerem Gonlum,EFE,8,0,5
2011-2012,Dogus Balbay,EFE,1,6,2
2011-2012,Gokhan Sirin,EFE,1,0,2
2011-2012,Erazem Lorbek,FCB,102,30,279
2011-2012,Juan Carlos Navarro,FCB,24,54,239
2011-2012,Pete Mickeal,FCB,91,19,197
2011-2012,Marcelinho Huertas,FCB,45,96,188
2011-2012,Chuck Eidson,FCB,62,44,142
2011-2012,Boniface Ndong,FCB,77,6,132
2011-2012,Fran Vazquez,FCB,74,7,99
2011-2012,Joe Ingles,FCB,37,31,91
2011-2012,Kosta Perovic,FCB,67,9,90
2011-2012,C.J. Wallace,FCB,54,7,88
2011-2012,Victor Sada,FCB,53,25,70
2011-2012,Xavi Rabaseda,FCB,20,8,24
2011-2012,Josep Perez,FCB,0,0,0
2011-2012,Bojan Bogdanovic,FEN,35,11,208
2011-2012,Roko Ukic,FEN,42,31,167
2011-2012,Oguz Savas,FEN,55,14,123
2011-2012,Curtis Jerrells,FEN,27,24,120
2011-2012,James Gist,FEN,72,15,119
2011-2012,Emir Preldzic,FEN,53,49,107
2011-2012,Omer Onan,FEN,15,6,103
2011-2012,Thabo Sefolosha,FEN,42,6,80
2011-2012,Gasper Vidmar,FEN,39,2,62
2011-2012,Kaya Peker,FEN,46,6,56
2011-2012,Engin Atsur,FEN,7,10,22
2011-2012,Marko Tomas,FEN,10,2,21
2011-2012,Mirsad Turkcan,FEN,48,5,17
2011-2012,Luksa Andric,GAL,69,9,172
2011-2012,Jaka Lakovic,GAL,31,43,155
2011-2012,Jamon Lucas,GAL,65,51,149
2011-2012,Josh Shipp,GAL,66,19,137
2011-2012,Preston Shumpert,GAL,41,14,107
2011-2012,Furkan Aldemir,GAL,72,7,99
2011-2012,Ender Arslan,GAL,15,41,72
2011-2012,Darius Songaila,GAL,28,4,65
2011-2012,Cevher Ozer,GAL,22,7,53
2011-2012,Tutku Acik,GAL,10,19,36
2011-2012,Zaza Pachulia,GAL,18,2,26
2011-2012,Goksenin Koksal,GAL,10,3,14
2011-2012,Haluk Yildirim,GAL,7,3,10
2011-2012,Caner Topaloglu,GAL,7,6,8
2011-2012,Boris Savovic,GAL,16,2,8
2011-2012,Sertac Sanli,GAL,1,0,6
2011-2012,Keith Langford,MAC,51,41,217
2011-2012,Richard Hendrix,MAC,113,21,187
2011-2012,David Blu,MAC,50,10,183
2011-2012,Sofoklis Schortsanitis,MAC,62,20,183
2011-2012,Devin Smith,MAC,100,17,174
2011-2012,Lior Eliyahu,MAC,60,20,172
2011-2012,Yogev Ohayon,MAC,71,55,118
2011-2012,Jordan Farmar,MAC,33,28,99
2011-2012,Guy Pnini,MAC,25,21,65
2011-2012,Theo Papaloukas,MAC,24,31,60
2011-2012,Tal Burstein,MAC,24,13,57
2011-2012,Demond Mallet,MAC,7,5,46
2011-2012,Shawn James,MAC,33,3,36
2011-2012,Jon Scheyer,MAC,1,0,6
2011-2012,Malik Hairston,MIL,34,18,167
2011-2012,Antonis Fotsis,MIL,80,14,135
2011-2012,Yannis Bourousis,MIL,96,8,135
2011-2012,Omar Cook,MIL,38,91,117
2011-2012,Danilo Gallinari,MIL,32,8,115
2011-2012,Drew Nicholas,MIL,37,24,104
2011-2012,Stefano Mancinelli,MIL,35,18,91
2011-2012,Richard Rocca,MIL,53,5,64
2011-2012,Leon Radosevic,MIL,18,4,49
2011-2012,Nicolo Melli,MIL,22,2,42
2011-2012,J.R. Bremer,MIL,9,7,32
2011-2012,Alessandro Gentile,MIL,13,8,32
2011-2012,Jacopo Giachetti,MIL,7,15,14
2011-2012,Ariel Filloy,MIL,3,1,14
2011-2012,Jeff Viggiano,MIL,2,1,6
2011-2012,Adrien Moerman,NAN,56,8,119
2011-2012,Jamal Shuler,NAN,30,20,112
2011-2012,Akin Akingbala,NAN,55,4,96
2011-2012,Nicolas Batum,NAN,40,31,95
2011-2012,Pape-Philippe Amagou,NAN,13,7,78
2011-2012,John Linehan,NAN,22,40,68
2011-2012,Victor Samnick,NAN,23,3,68
2011-2012,Kenny Gregory,NAN,8,1,30
2011-2012,Moussa Badiane,NAN,14,0,27
2011-2012,Kenny Grant,NAN,7,10,24
2011-2012,Abdel Sylla,NAN,16,2,23
2011-2012,Kevin Thalien,NAN,0,0,3
2011-2012,Kingsley Pinda,NAN,0,0,0
2011-2012,Deon Thompson,OLI,41,8,88
2011-2012,Danny Green,OLI,28,13,80
2011-2012,Robert Rothbart,OLI,48,3,73
2011-2012,Ratko Varda,OLI,16,2,67
2011-2012,Aleksandar Capin,OLI,8,23,57
2011-2012,Sasu Salin,OLI,20,13,44
2011-2012,Ben Woodside,OLI,15,13,42
2011-2012,Jaka Blazic,OLI,25,4,36
2011-2012,Damir Markota,OLI,42,10,33
2011-2012,Davis Bertans,OLI,22,5,30
2011-2012,Dino Muric,OLI,17,0,16
2011-2012,Jan Mocnik,OLI,4,6,14
2011-2012,Erjon Kastrati,OLI,4,4,9
2011-2012,Gezim Morina,OLI,2,0,0
2011-2012,Djordje Micic,OLI,0,0,0
2011-2012,Vassilis Spanoulis,OLY,41,83,350
2011-2012,Georgios Printezis,OLY,87,25,222
2011-2012,Kyle Hines,OLY,99,23,217
2011-2012,Pero Antic,OLY,94,17,159
2011-2012,Kostas Papanikolaou,OLY,75,14,134
2011-2012,Martynas Gecevicius,OLY,24,14,112
2011-2012,Kostas Sloukas,OLY,26,24,83
2011-2012,Acie Law,OLY,17,25,66
2011-2012,Joey Dorsey,OLY,58,9,59
2011-2012,Marko Keselj,OLY,28,4,55
2011-2012,Lazaros Papadopoulos,OLY,36,26,55
2011-2012,Kalin Lucas,OLY,14,9,49
2011-2012,Andreas Glyniadakis,OLY,12,1,36
2011-2012,Evangelos Mantzaris,OLY,41,17,35
2011-2012,Michalis Pelekanos,OLY,20,3,31
2011-2012,Dimitrios Katsivelis,OLY,7,7,17
2011-2012,Matt Howard,OLY,0,0,2
2011-2012,Dimitris Diamantidis,PAN,82,104,248
2011-2012,Mike Batiste,PAN,106,17,224
2011-2012,Kostas Kaimakoglou,PAN,95,29,182
2011-2012,Nick Calathes,PAN,62,56,175
2011-2012,Ian Vougioukas,PAN,50,11,165
2011-2012,Romain Sato,PAN,108,22,164
2011-2012,Sarunas Jasikevicius,PAN,28,52,151
2011-2012,Steven Smith,PAN,57,11,145
2011-2012,David Logan,PAN,19,22,137
2011-2012,Aleks Maric,PAN,54,3,80
2011-2012,Kostas Tsartsaris,PAN,46,8,72
2011-2012,Stratos Perperoglou,PAN,16,8,41
2011-2012,Giannis Dimakopoulos,PAN,3,6,16
2011-2012,Alex Kyritsis,PAN,3,2,10
2011-2012,Pat Calathes,PAN,5,3,4
2011-2012,Milan Macvan,PAR,82,22,153
2011-2012,Acie Law,PAR,19,31,114
2011-2012,Nikola Pekovic,PAR,32,5,108
2011-2012,Dragan Milosavljevic,PAR,37,14,82
2011-2012,Dusan Kecman,PAR,25,13,62
2011-2012,Vladimir Lucic,PAR,24,10,58
2011-2012,Miroslav Raduljica,PAR,33,5,57
2011-2012,Rasko Katic,PAR,6,1,38
2011-2012,Danilo Andjusic,PAR,7,4,33
2011-2012,Marko Cakarevic,PAR,37,13,20
2011-2012,Petar Bozic,PAR,5,8,14
2011-2012,Nemanja Jaramaz,PAR,1,0,0
2011-2012,Donatas Motiejunas,PRO,79,9,125
2011-2012,Oliver Lafayette,PRO,25,33,107
2011-2012,Adam Hrycaniuk,PRO,47,6,60
2011-2012,Przemyslaw Zamojski,PRO,16,3,57
2011-2012,Jerel Blassingame,PRO,21,45,54
2011-2012,Lukasz Seweryn,PRO,7,2,52
2011-2012,Adam Lapeta,PRO,43,3,47
2011-2012,Alonzo Gee,PRO,19,3,33
2011-2012,Piotr Szczotka,PRO,18,11,26
2011-2012,Michael Kuebler,PRO,3,1,23
2011-2012,Przemyslaw Frasunkiewicz,PRO,9,6,18
2011-2012,Fedor Dmitriev,PRO,9,7,9
2011-2012,Devin Brown,PRO,2,1,7
2011-2012,Slawomir Sikora,PRO,0,0,0
2011-2012,Jaycee Carroll,RMB,41,12,227
2011-2012,Nikola Mirotic,RMB,72,14,200
2011-2012,Felipe Reyes,RMB,101,9,134
2011-2012,Sergio Rodriguez,RMB,24,86,118
2011-2012,Sergio Llull,RMB,24,51,118
2011-2012,Martynas Pocius,RMB,23,12,104
